Date,Close/Last,Volume,Open,High,Low
10/6/22,238.13,69298440,239.44,244.58,235.35
10/5/22,240.81,86982670,245.01,246.67,233.27
10/4/22,249.44,109578500,250.52,257.5,242.01
10/3/22,242.4,98363540,254.5,255.16,241.01
9/30/22,265.25,67726600,266.15,275.57,262.47
9/29/22,268.21,77620640,282.76,283.65,265.78
9/28/22,287.81,54664810,283.08,289,277.57
9/27/22,282.94,61925190,283.84,288.67,277.51
9/26/22,276.01,58076910,271.83,284.09,270.31
9/23/22,275.33,63748360,283.09,284.5,272.82
9/22/22,288.59,70545410,299.86,301.29,285.82
9/21/22,300.8,62555660,308.29,313.8,300.63
9/20/22,308.73,61642780,306.91,313.33,305.58
9/19/22,309.07,60231160,300.09,309.84,297.8
9/16/22,303.35,87087790,299.61,303.71,295.6
9/15/22,303.75,64795520,301.83,309.12,300.72
9/14/22,302.61,72628650,292.24,306,291.64
9/13/22,292.13,68229620,292.9,297.4,290.4
9/12/22,304.42,48674600,300.72,305.49,300.4
9/9/22,299.68,54470850,291.67,299.85,291.25
9/8/22,289.26,53713120,281.3,289.5,279.76
9/7/22,283.7,50028920,273.1,283.84,272.27
9/6/22,274.42,55859980,272.68,275.99,265.74
9/2/22,270.21,50890090,281.07,282.35,269.08
9/1/22,277.16,54287020,272.58,277.58,266.15
8/31/22,275.61,52107340,280.62,281.25,271.81
8/30/22,277.7,50541760,287.87,288.48,272.65
8/29/22,284.82,41864740,282.83,287.74,280.7
8/26/22,288.09,57163950,297.43,302,287.47
8/25/22,296.07,53230010,302.36,302.96,291.6
8/24/22,297.1,57259716,297.56,303.65,296.5
8/23/22,296.45,63985056,291.45,298.83,287.92
8/22/22,289.91,55843356,291.91,292.4,286.3
8/19/22,296.67,61395396,299,300.36,292.5
8/18/22,302.87,47500535,306,306.5,301.85
8/17/22,304,68765977,303.4,309.66,300.03
8/16/22,306.56,88136319,311.67,314.67,302.88
8/15/22,309.32,89359179,301.79,313.13,301.23
8/12/22,300.03,79657298,289.42,300.16,285.03
8/11/22,286.63,70155067,296.51,298.24,285.83
8/10/22,294.36,94918869,297.07,297.51,283.37
8/9/22,283.33,86244699,290.29,292.4,279.35
8/8/22,290.42,99365290,295,305.2,289.09
8/5/22,288.17,113172911,302.67,304.61,285.54
8/4/22,308.63,72256327,311,313.61,305
8/3/22,307.4,80091128,305,309.55,301.15
8/2/22,300.59,95577490,294,307.83,292.67
8/1/22,297.28,117042912,301.28,311.88,295
7/29/22,297.15,95312890,280.7,298.32,279.1
7/28/22,280.9,84723008,280.07,283.3,272.8
7/27/22,274.82,88110009,263.81,275.93,261.79
7/26/22,258.86,66820777,266.51,267.31,256.26
7/25/22,268.43,64073526,272.22,274.15,267.4
7/22/22,272.24,103472860,276.22,280.79,270.71
7/21/22,271.71,142032194,255.11,273.27,254.87
7/20/22,247.5,88864089,246.78,250.66,243.48
7/19/22,245.53,80890118,245,247.14,236.98
7/18/22,240.55,82537448,244.94,250.52,239.6
7/15/22,240.07,69683017,240,243.62,236.89
7/14/22,238.31,78557498,234.9,238.65,229.33
7/13/22,237.04,97954510,225.5,242.06,225.03
7/12/22,233.07,87930969,236.85,239.77,228.37
7/11/22,234.34,99509230,252.1,253.06,233.63
7/8/22,250.76,101854090,242.33,254.98,241.16
7/7/22,244.54,81930698,233.92,245.36,232.21
7/6/22,231.73,71853637,230.78,234.56,227.19
7/5/22,233.07,84779108,223,233.15,216.17
7/1/22,227.26,74460457,227,230.23,222.12
6/30/22,224.47,94600449,224.51,229.46,218.86
6/29/22,228.49,82897268,230.5,231.17,222.27
6/28/22,232.66,90666519,244.48,249.97,232.34
6/27/22,244.92,89178309,249.37,252.07,242.57
6/24/22,245.71,95770720,237.47,246.07,236.09
6/23/22,235.07,104202700,237.91,239.32,228.64
6/22/22,236.09,101527270,234.5,246.83,233.83
6/21/22,237.04,122792982,224.6,243.58,224.33
6/17/22,216.76,92641779,213.43,220.97,213.2
6/16/22,213.1,107390711,222.74,225.17,208.69
6/15/22,233,119131962,220.92,235.66,218.15
6/14/22,220.89,97988800,218.29,226.33,211.74
6/13/22,215.74,102767260,223.17,226.63,214.68
6/10/22,232.23,98090920,235.16,239.5,227.91
6/9/22,239.71,96491320,249.34,255.55,239.33
6/8/22,241.87,76210628,240.09,249.96,239.18
6/7/22,238.89,72808597,234,240,230.09
6/6/22,238.28,84204518,244.35,244.87,234.35
6/3/22,234.52,112393751,243.23,247.8,233.42
6/2/22,258.33,93473139,244.16,264.21,242.07
6/1/22,246.79,77247968,251.72,257.33,243.64
5/31/22,252.75,101914390,257.95,259.6,244.74
5/27/22,253.21,89294979,241.08,253.27,240.18
5/26/22,235.91,106003361,220.47,239.56,217.89
5/25/22,219.6,92139339,207.95,223.11,207.67
5/24/22,209.39,89092539,217.84,217.97,206.86
5/23/22,224.97,88903659,218.34,226.65,212.69
5/20/22,221.3,144973334,238,240.53,211
5/19/22,236.47,90296679,235.67,244.67,231.37
5/18/22,236.6,87811809,248.17,253.5,233.6
5/17/22,253.87,80236118,249.12,254.83,242.95
5/16/22,241.46,86098539,255.72,256.59,239.7
5/13/22,256.53,92150739,257.83,262.45,250.52
5/12/22,242.67,140312864,233.67,253.22,226.67
5/11/22,244.67,97224460,265,269.92,242.4
5/10/22,266.68,84401648,273.1,275.12,258.08
5/9/22,262.37,90810219,278.82,281.88,260.38
5/6/22,288.55,72903127,295.67,296,281.04
5/5/22,291.09,92519199,313.07,315.2,285.9
5/4/22,317.54,81643718,301.31,318.5,295.09
5/3/22,303.08,63709596,301.06,308.03,296.2
5/2/22,300.98,75781388,286.92,302.12,282.68
4/29/22,290.25,88133019,300.75,311.47,290
4/28/22,292.5,124948542,299.99,300,273.9
4/27/22,293.84,76956398,299.53,306,292.45
4/26/22,292.14,136133684,331.81,333.33,291.67
4/25/22,332.67,68341357,326.32,336.21,325.1
4/22/22,335.02,69696577,338.3,344.95,331.33
4/21/22,336.26,105416351,358.24,364.07,332.14
4/20/22,325.73,70711327,343.33,344.67,325.08
4/19/22,342.72,49847825,335.02,344.98,331.78
4/18/22,334.76,51715235,329.68,338.31,324.47
4/14/22,328.33,58422426,333.1,337.57,327.4
4/13/22,340.79,55121226,327.03,342.08,324.37
4/12/22,328.98,65976097,332.55,340.4,325.53
4/11/22,325.31,59357226,326.8,336.16,324.88
4/8/22,341.83,55013706,347.74,349.48,340.81
4/7/22,352.42,79447058,350.8,358.86,340.51
4/6/22,348.59,89348559,357.82,359.67,342.57
4/5/22,363.75,80075018,378.77,384.29,362.43
4/4/22,381.82,82177718,363.13,383.3,357.51
4/1/22,361.53,54263225,360.38,364.92,355.55
3/31/22,359.2,48992765,364.86,367.71,358.88
3/30/22,364.66,59865006,363.72,371.32,361.33
3/29/22,366.52,73614817,369.33,371.59,357.7
3/28/22,363.95,102506080,355.03,365.96,351.2
3/25/22,336.88,62031546,336,340.6,332.44
3/24/22,337.97,68920897,336.58,341.5,329.6
3/23/22,333.04,120676152,326.65,346.9,325.47
3/22/22,331.33,105868571,310,332.62,307.25
3/21/22,307.05,81981668,304.99,314.28,302.36
3/18/22,301.8,100414210,291.5,302.62,289.13
3/17/22,290.53,66582967,277,291.67,275.24
3/16/22,280.08,84028838,269.67,280.67,267.42
3/15/22,267.3,66841147,258.42,268.52,252.19
3/14/22,255.46,71152267,260.2,266.9,252.01
3/11/22,265.12,67037167,280.07,281.27,264.59
3/10/22,279.43,58648656,283.82,284.82,270.12
3/9/22,286.32,59183976,279.83,286.85,277.34
3/8/22,274.8,80399108,265.18,283.33,260.72
3/7/22,268.19,72494167,285.43,288.71,268.19
3/4/22,279.43,67179877,283.03,285.22,275.05
3/3/22,279.76,61623516,292.92,295.48,277.53
3/2/22,293.3,74643457,290.71,295.49,281.42
3/1/22,288.12,74766877,289.89,296.63,284.59
2/28/22,290.14,99006880,271.67,292.29,271.57
2/25/22,269.96,76067768,269.74,273.17,260.8
2/24/22,266.92,135322304,233.46,267.49,233.33
2/23/22,254.68,95257030,276.81,278.43,253.52
2/22/22,273.84,83288198,278.04,285.58,267.03
2/18/22,285.66,68501857,295.33,295.62,279.2
2/17/22,292.12,55178436,304.42,306.17,291.37
2/16/22,307.8,51294395,304.68,308.81,300.4
2/15/22,307.48,57649536,300,307.67,297.79
2/14/22,291.92,67756417,287.19,299.63,284.38
2/11/22,286.67,79645868,303.21,305.32,283.57
2/10/22,301.52,66126847,302.79,314.6,298.9
2/9/22,310.67,52259555,311.67,315.42,306.67
2/8/22,307.33,50729015,301.84,308.76,298.27
2/7/22,302.45,60994476,307.93,315.92,300.9
2/4/22,307.77,73625467,299.07,312.17,293.72
2/3/22,297.05,78855578,294,312.33,293.51
2/2/22,301.89,66793057,309.39,310.5,296.47
2/1/22,310.42,73138357,311.74,314.57,301.67
1/31/22,312.24,104436100,290.9,312.66,287.35
1/28/22,282.12,134788963,277.19,285.83,264
1/27/22,276.37,147109575,311.12,311.8,276.33
1/26/22,312.47,104867290,317.48,329.23,302
1/25/22,306.13,86595909,304.73,317.09,301.07
1/24/22,310,152375145,301.59,311.17,283.82
1/21/22,314.63,103416040,332.11,334.85,313.5
1/20/22,332.09,70488757,336.58,347.22,331.33
1/19/22,331.88,75442508,347.24,351.56,331.67
1/18/22,343.5,66989407,342.2,356.93,338.69
1/14/22,349.87,72924427,339.96,350.67,337.79
1/13/22,343.85,97209790,369.69,371.87,342.18
1/12/22,368.74,83739038,359.62,371.61,357.53
1/11/22,354.8,66063217,351.22,358.62,346.27
1/10/22,352.71,91814889,333.33,353.03,326.67
1/7/22,342.32,84164768,360.12,360.31,336.67
1/6/22,354.9,90336489,359,362.67,340.17
1/5/22,362.71,80119808,382.22,390.11,360.34
1/4/22,383.2,100248280,396.52,402.67,374.35
1/3/22,399.93,104686060,382.58,400.36,378.68
12/31/21,352.26,40733644,357.81,360.67,351.53
12/30/21,356.78,47040935,353.78,365.18,351.05
12/29/21,362.06,56154066,366.21,368,354.71
12/28/21,362.82,60323916,369.83,373,359.47
12/27/21,364.65,71145817,357.89,372.33,356.91
12/23/21,355.67,92713299,335.6,357.66,332.52
12/22/21,336.29,93634089,321.89,338.55,319.02
12/21/21,312.84,71517937,305.62,313.17,295.37
12/20/21,299.98,56480016,303.57,307.23,297.8
12/17/21,310.86,100880260,304.92,320.22,303.01
12/16/21,308.97,82771448,331.5,331.66,307.28
12/15/21,325.33,75169238,317.74,326.25,309.42
12/14/21,319.5,70806277,315,322.14,310
12/13/21,322.14,78595508,333.7,335,317.14
12/10/21,339.01,59664366,336.25,340.33,327.51
12/9/21,334.6,59438496,353.55,354.16,334.12
12/8/21,356.32,41906374,350.9,357.46,344.33
12/7/21,350.58,56084586,348.07,352.56,342.27
12/6/21,336.34,81663128,333.84,340.55,316.83
12/3/21,338.32,92322009,361.6,363.53,333.4
12/2/21,361.53,73114867,366.35,371,352.22
